"customer_id","region","customer_segment","discount_sensitivity","frequency","recency_days","tenure_days","monetary","avg_spend","churn_flag","clv_proxy"
C00034,East,Low Activity,Low,3,101,456,1935.73,645.24,0,981.86
C00035,East,High Activity,High,8,42,617,11489.44,1436.18,0,7885.41
C00036,East,Mid Activity,Low,5,176,286,6318.25,1263.65,0,2010.03
C00037,Central,Mid Activity,Low,6,35,837,12895.2,2149.2,0,12005.88
C00038,North,High Activity,Low,8,27,599,16596.23,2074.53,0,11058.01
C00039,South,Mid Activity,Low,6,312,790,5141.97,857.0,0,4518.55
C00040,Central,High Activity,Low,8,71,608,10350.28,1293.79,0,6999.99
C00041,North,Low Activity,Low,2,309,554,2763.15,1381.58,0,1702.77
C00042,Central,Low Activity,Low,4,6,252,3758.19,939.55,0,1053.47
C00043,North,Mid Activity,Low,5,31,813,5957.48,1191.5,0,5387.59
C00044,East,Power User,High,10,66,209,10054.95,1005.5,0,2337.59
C00046,South,Mid Activity,High,6,84,543,5156.28,859.38,0,3114.42
C00047,Central,High Activity,Low,7,58,630,7836.78,1119.54,0,5491.85
C00048,Central,High Activity,Low,7,32,374,23930.74,3418.68,0,9955.62
C00049,Central,Low Activity,Low,4,17,335,4197.7,1049.43,0,1564.22
C00050,North,Low Activity,Low,4,237,351,3982.9,995.72,1,1555.05
C00051,East,Mid Activity,Low,6,30,220,12567.08,2094.51,0,3075.37
C00052,South,High Activity,Low,8,19,242,16663.94,2082.99,0,4485.73
C00053,East,High Activity,Low,7,109,202,12163.87,1737.7,0,2733.16
C00054,East,High Activity,High,7,117,539,11351.97,1621.71,0,6806.13
C00055,South,Mid Activity,High,5,266,254,5784.87,1156.97,0,1634.43
C00056,East,High Activity,Low,8,318,739,8057.23,1007.15,1,6623.22
C00058,North,Power User,Low,9,230,297,8339.44,926.6,1,2755.06
C00059,North,Mid Activity,High,6,29,791,6185.77,1030.96,0,5442.64
C00060,Central,Mid Activity,High,6,4,559,17076.97,2846.16,0,10618.49
C00061,Central,Mid Activity,Low,5,141,858,8003.33,1600.67,0,7638.35
C00062,Central,Mid Activity,Low,6,43,469,6524.58,1087.43,1,3403.81
C00063,East,Low Activity,Low,3,13,619,3945.51,1315.17,0,2716.65
C00064,Central,Low Activity,Low,4,137,847,3493.21,873.3,0,3291.15
C00065,Central,High Activity,Low,8,9,186,8142.97,1017.87,0,1684.75
C00066,Central,Mid Activity,High,6,92,375,7300.21,1216.7,0,3045.13
C00067,North,High Activity,Low,7,29,600,14382.84,2054.69,1,9599.22
C00068,East,High Activity,Low,8,196,747,13689.54,1711.19,1,11374.94
C00069,North,Low Activity,Low,3,35,372,27284.35,1818.96,1,2258.02
C00070,East,High Activity,Low,8,20,738,14073.54,1759.19,0,11553.12
C00071,South,Mid Activity,High,6,95,327,8841.81,1473.63,0,3216.09
C00072,North,Mid Activity,High,6,152,848,7767.16,1294.53,1,7326.55
C00073,North,High Activity,High,8,58,381,9605.45,1200.68,0,4070.83
C00074,East,High Activity,Low,7,55,623,8321.3,1188.76,0,5766.61
C00075,South,Mid Activity,High,6,256,598,6939.09,1156.52,0,4615.79
C00076,South,Low Activity,High,1,139,606,1169.42,1169.42,0,788.29
C00077,South,High Activity,High,8,7,658,25594.16,3199.27,0,18732.99
C00078,North,Mid Activity,Low,6,115,654,7586.24,1264.37,0,5518.79
C00079,Central,Mid Activity,High,6,28,305,20311.67,3385.28,0,6891.06
C00080,North,High Activity,Low,7,76,574,6513.55,930.51,0,4158.83
C00081,East,Power User,Low,9,38,755,6617.57,735.29,1,5557.61
C00082,South,Mid Activity,High,5,167,504,5305.66,1061.13,0,2974.47
C00083,Central,High Activity,Low,7,198,571,6644.3,949.19,1,4220.15
C00084,North,Mid Activity,Low,5,24,867,3759.63,751.93,0,3625.82
C00085,Central,Low Activity,Low,2,60,807,3180.39,1590.2,0,2854.93
C00086,Central,Low Activity,Low,4,213,619,3196.33,799.08,1,2200.8
C00087,South,Mid Activity,Low,5,67,383,6874.18,1374.84,0,2928.61
C00088,South,Mid Activity,Low,6,25,665,21537.08,3589.51,0,15931.2
C00089,East,Mid Activity,Low,5,27,210,4275.13,855.03,0,998.64
C00090,Central,Mid Activity,Low,6,32,567,10533.58,1755.6,0,6643.55
C00091,North,Low Activity,Low,3,261,804,4817.44,1605.81,1,4308.36
C00092,South,Low Activity,High,3,8,613,3226.14,1075.38,0,2199.8
C00093,South,Mid Activity,Low,6,17,555,15138.83,2523.14,1,9346.0
C00094,South,Mid Activity,High,6,62,523,8350.73,1391.79,0,4858.11
C00095,South,Mid Activity,High,6,103,622,7512.47,1252.08,0,5197.73
C00096,Central,High Activity,Low,7,34,758,13561.25,1937.32,0,11434.28
C00097,Central,Mid Activity,Low,5,312,254,4828.68,965.74,0,1364.28
C00098,Central,Power User,High,10,46,736,8715.66,871.57,1,7135.43
C00099,North,High Activity,Low,8,81,845,11031.63,1378.95,0,10368.97
C00100,North,Low Activity,Low,3,50,334,3007.9,1002.63,0,1117.5
C00101,North,Low Activity,Low,4,1,609,6235.17,1558.79,0,4223.82
C00102,South,Mid Activity,High,5,23,542,8383.75,1676.75,0,5054.5
C00103,Central,High Activity,Low,7,37,627,13083.51,1869.07,0,9124.97
C00104,Central,High Activity,Low,8,208,413,11371.66,1421.46,0,5224.14
C00105,East,Mid Activity,Low,5,51,742,9088.48,1817.7,0,7501.3
C00106,North,Mid Activity,Low,6,285,441,5660.4,943.4,0,2776.68
C00107,Central,Mid Activity,Low,6,30,304,15654.24,2609.04,0,5293.54
C00108,South,Low Activity,Low,4,173,424,5474.32,1368.58,1,2581.88
C00109,North,Low Activity,Low,4,36,721,5952.58,1488.15,0,4774.0
C00110,North,High Activity,Low,8,15,664,12718.33,1589.79,0,9393.73
C00111,Central,Low Activity,Low,4,96,301,7086.22,1771.56,1,2372.59
C00113,East,Power User,Low,9,59,728,12529.74,1392.19,0,10146.42
C00114,East,Mid Activity,Low,6,23,349,12077.56,2012.93,1,4688.63
C00115,South,Mid Activity,Low,6,126,303,8165.98,1361.0,0,2752.28
C00116,East,Low Activity,High,4,241,214,3619.9,904.97,1,861.68
C00117,East,Low Activity,Low,4,124,266,3327.16,831.79,0,984.45
C00118,North,High Activity,Low,7,26,825,16241.03,2320.15,1,14904.19
C00119,East,Mid Activity,Low,6,140,887,6538.95,1089.82,0,6451.64
C00120,Central,Mid Activity,High,5,40,380,5398.06,1079.61,0,2281.71
C00121,East,High Activity,Low,7,135,548,9544.12,1363.45,0,5817.79
C00122,East,Low Activity,High,4,208,256,3006.39,751.6,0,856.11
C00123,Central,Power User,Low,13,282,238,20306.84,1562.06,0,5375.99
C00124,North,Low Activity,Low,2,95,610,2471.71,1235.85,1,1677.13
C00125,North,High Activity,Low,7,346,817,50009.7,1428.85,1,9089.65
C00126,Central,Low Activity,Low,2,2,679,2716.41,1358.2,0,2051.65
C00127,East,High Activity,Low,7,3,288,19432.96,2776.14,0,6225.47
C00128,East,Low Activity,Low,2,131,457,1680.93,840.46,1,854.48
C00129,North,Mid Activity,High,5,18,247,7747.03,1549.41,0,2128.5
C00130,Central,Low Activity,Low,4,319,248,5127.5,1281.87,0,1414.48
C00131,Central,Low Activity,High,4,179,344,4230.01,1057.5,1,1618.6
C00132,North,Mid Activity,Low,6,19,668,12790.74,2131.79,1,9504.13
C00133,North,Mid Activity,Low,6,35,484,16141.3,2690.22,1,8690.1
C00134,Central,Mid Activity,Low,6,12,853,14605.12,2434.19,1,13857.82
C00136,Central,Low Activity,High,4,27,558,6784.07,1696.02,0,4210.81
C00137,Central,Low Activity,Low,4,221,522,3556.04,889.01,1,2064.8
C00138,South,High Activity,Low,7,26,733,18918.35,2702.62,0,15425.08
C00139,Central,High Activity,Low,7,3,533,16838.6,2405.51,0,9983.27
C00140,East,Low Activity,Low,4,14,595,6171.05,1542.76,0,4084.28
C00141,East,High Activity,Low,8,208,288,13501.56,1687.69,1,4325.29
C00142,Central,Mid Activity,Low,5,127,742,6294.18,1258.84,1,5194.99
C00143,Central,Low Activity,Low,2,28,676,2772.48,1386.24,0,2084.76
C00144,Central,High Activity,Low,8,24,520,22059.38,2757.42,0,12759.59
C00145,Central,High Activity,Low,8,54,562,11995.77,1499.47,0,7499.02
C00146,North,Low Activity,Low,3,31,712,4731.09,1577.03,0,3746.98
C00147,South,Mid Activity,Low,6,51,479,6663.45,1110.57,0,3550.37
C00148,Central,High Activity,Low,7,111,318,7314.55,1044.94,1,2587.36
C00149,North,Power User,Low,10,22,538,14521.79,1452.18,0,8690.47
C00150,Central,Low Activity,Low,4,39,678,4565.59,1141.4,0,3443.24
C00151,East,Mid Activity,Low,5,39,564,5873.75,1174.75,0,3684.98
C00152,North,Power User,Low,11,24,783,23418.49,2128.95,0,20396.71
C00153,North,Mid Activity,Low,5,3,459,6738.34,1347.67,0,3440.38
C00154,Central,Mid Activity,Low,5,81,816,6777.39,1355.48,0,6151.68
C00155,East,Mid Activity,Low,5,75,662,5901.86,1180.37,1,4345.97
C00156,North,High Activity,Low,8,1,290,19447.58,2430.95,0,6273.42
C00157,South,Power User,High,9,17,318,24372.27,2708.03,0,8621.11
C00158,South,High Activity,Low,7,7,614,13835.12,1976.45,1,9449.15
C00159,North,High Activity,Low,7,109,688,10359.76,1479.97,1,7928.29
C00160,South,Low Activity,Low,4,253,452,4066.36,1016.59,1,2044.49
C00161,Central,Mid Activity,High,6,3,278,18740.51,3123.42,0,5795.18
C00162,South,High Activity,Low,7,33,283,17296.08,2470.87,0,5444.71
C00163,South,Low Activity,Low,3,179,393,3657.69,1219.23,0,1598.97
C00164,Central,Power User,Low,9,22,843,12889.35,1432.15,0,12086.45
C00165,North,Mid Activity,Low,6,133,344,8384.2,1397.37,0,3208.2
C00166,East,Mid Activity,Low,5,108,699,6142.59,1228.52,0,4776.06
C00167,Central,Mid Activity,Low,5,127,463,6261.22,1252.24,0,3224.62
C00168,North,Low Activity,Low,3,10,696,3516.23,1172.08,0,2722.25
C00169,North,Mid Activity,Low,6,15,836,15897.97,2649.66,1,14783.86
C00170,South,Mid Activity,High,6,93,792,8685.85,1447.64,0,7652.04
C00171,South,Mid Activity,Low,5,17,343,6726.04,1345.21,0,2566.22
C00172,North,Low Activity,Low,3,36,838,4785.36,1595.12,0,4460.66
C00173,Central,Mid Activity,Low,5,3,243,4921.05,984.21,0,1330.16
C00174,North,Mid Activity,Low,5,167,270,5110.73,1022.15,0,1534.93
C00175,South,Low Activity,Low,2,50,296,2644.02,1322.01,0,870.56
C00176,North,Power User,Low,9,203,446,12586.8,1398.53,1,6244.38
C00177,South,Mid Activity,Low,5,238,864,6775.04,1355.01,1,6511.28
C00178,Central,Power User,Low,11,88,738,8951.15,813.74,0,7348.1
C00179,East,High Activity,Low,7,97,319,5874.72,839.25,0,2084.59
C00180,North,Low Activity,Low,4,9,425,4578.26,1144.56,0,2164.35
C00181,Central,High Activity,Low,7,160,840,4642.53,663.22,0,4337.86
C00182,North,Mid Activity,Low,5,306,574,6391.35,1278.27,0,4080.8
C00183,East,Low Activity,Low,4,4,666,4710.2,1177.55,0,3489.43
C00184,East,Low Activity,Low,3,17,655,2776.98,925.66,0,2023.27
C00185,Central,Low Activity,High,4,19,696,4137.91,1034.48,0,3203.55
C00186,South,Mid Activity,Low,6,61,363,7397.51,1232.92,0,2986.99
C00187,East,Low Activity,High,4,244,199,3007.77,751.94,1,665.79
C00188,South,Mid Activity,Low,5,355,737,5094.9,1018.98,1,4176.8
C00189,Central,Low Activity,Low,4,157,703,4483.93,1120.98,0,3506.34
C00190,North,High Activity,Low,7,11,761,14157.33,2022.48,1,11984.15
C00191,North,Mid Activity,Low,6,137,708,6712.09,1118.68,0,5286.04
C00192,East,Mid Activity,High,6,90,326,9646.3,1607.72,0,3498.0
C00193,East,Mid Activity,Low,5,16,845,7422.83,1484.57,1,6976.98
C00194,South,Mid Activity,Low,5,19,483,5035.3,1007.06,0,2705.28
C00195,Central,High Activity,Low,7,90,799,6221.89,888.84,0,5529.79
C00196,Central,Mid Activity,High,5,56,761,5379.97,1075.99,0,4554.11
C00197,South,High Activity,High,7,141,874,10977.04,1568.15,0,10671.79
C00198,East,Mid Activity,Low,5,18,407,2809.04,561.81,0,1271.73
C00199,East,Mid Activity,High,6,10,281,11855.17,1975.86,0,3705.56
C00200,South,Mid Activity,Low,6,74,766,6645.5,1107.58,0,5662.33
C00201,South,Mid Activity,Low,5,304,596,7797.55,1559.51,1,5169.45
C00202,North,Mid Activity,Low,6,19,395,14695.19,2449.2,0,6456.73
C00203,North,Low Activity,High,4,277,586,3038.23,759.56,1,1980.43
C00204,East,Mid Activity,High,5,87,578,38974.9,1559.0,0,5011.69
C00205,South,High Activity,High,7,140,894,3499.1,499.87,0,3479.63
C00206,North,High Activity,Low,7,277,883,9685.78,1383.68,0,9513.38
C00207,North,Low Activity,Low,2,100,678,2821.23,1410.62,0,2127.7
C00208,South,Low Activity,High,4,146,644,6822.2,1705.55,0,4887.09
C00210,North,High Activity,Low,7,64,261,7004.69,1000.67,1,2033.62
C00211,Central,Mid Activity,Low,5,16,783,4487.46,897.49,0,3908.42
C00212,South,Low Activity,High,4,314,866,6552.27,1638.07,1,6311.76
C00213,South,Power User,Low,15,168,544,25637.0,1709.13,0,15513.35
C00214,North,Mid Activity,Low,6,41,342,6392.74,1065.46,0,2431.95
C00215,South,Mid Activity,High,5,173,227,6033.28,1206.66,0,1523.43
C00216,North,Mid Activity,Low,6,282,690,9653.95,1608.99,1,7409.59
C00217,Central,Mid Activity,Low,6,2,508,18347.8,3057.97,1,10367.84
C00218,South,High Activity,Low,8,251,295,9151.73,1143.97,0,3003.08
C00220,East,High Activity,Low,8,140,326,7580.9,947.61,0,2749.02
C00221,South,Low Activity,Low,3,352,754,4458.02,1486.01,1,3738.99
C00222,South,Mid Activity,High,6,169,502,6539.39,1089.9,0,3651.59
C00223,North,Low Activity,High,4,10,622,4312.06,1078.01,1,2983.41
C00224,Central,High Activity,Low,8,72,192,11068.57,1383.57,0,2363.92
C00225,Central,Low Activity,High,3,14,673,3672.54,1224.18,0,2749.3
C00226,North,High Activity,Low,7,3,880,17643.44,2520.49,1,17270.54
C00227,East,Mid Activity,High,5,110,466,5513.95,1102.79,0,2858.18
C00228,Central,Power User,Low,9,138,899,9812.85,1090.32,0,9812.88
C00229,East,Mid Activity,Low,6,90,293,5878.01,979.67,0,1915.75
C00231,South,Low Activity,High,3,92,201,3676.55,1225.52,1,822.01
C00232,Central,Low Activity,Low,4,142,528,5151.79,1287.95,0,3025.75
C00233,South,High Activity,High,7,3,862,12550.11,1792.87,0,12033.57
C00234,Central,Power User,Low,9,14,745,19748.15,2194.24,0,16365.27
C00235,North,Mid Activity,High,5,26,499,6468.12,1293.62,0,3590.19
C00236,South,Low Activity,Low,4,6,305,5676.36,1419.09,0,1925.8
C00237,Central,High Activity,Low,7,141,456,9124.79,1303.54,0,4628.36
C00238,North,High Activity,Low,7,31,383,17616.0,2516.57,0,7504.92
C00239,South,Power User,Low,9,9,373,9534.69,1059.41,0,3955.99
C00240,North,High Activity,Low,7,97,860,10789.28,1541.33,0,10321.25
C00241,East,High Activity,Low,7,199,843,5627.04,803.86,1,5276.5
C00242,East,Mid Activity,Low,6,25,726,16407.82,2734.64,0,13250.38
C00243,East,Mid Activity,Low,5,4,875,5890.79,1178.16,0,5733.54
C00244,Central,Mid Activity,Low,6,31,465,9257.82,1542.97,0,4788.53
C00245,North,Mid Activity,Low,6,39,236,15372.4,2562.07,1,4035.47
C00246,East,High Activity,High,7,8,482,11175.29,1596.47,0,5991.65
C00247,Central,Power User,High,12,138,342,18388.74,1532.39,0,6995.47
C00248,East,Power User,Low,9,317,198,9407.51,1045.28,1,2071.96
C00249,East,High Activity,Low,8,26,549,14690.0,1836.25,0,8970.87
C00250,East,High Activity,Low,8,161,443,11186.04,1398.25,0,5512.12
C00251,Central,Mid Activity,Low,5,17,292,5936.47,1187.29,0,1928.19
C00252,Central,Power User,Low,9,29,667,26458.85,2939.87,0,19630.74
C00254,Central,Low Activity,Low,3,16,721,4640.99,1547.0,0,3722.09
C00256,South,Low Activity,Low,1,148,758,727.23,727.23,0,613.17
C00257,East,High Activity,Low,7,123,244,6101.96,871.71,0,1656.15
C00258,South,Low Activity,High,1,47,471,1330.56,1330.56,0,697.1
C00259,South,High Activity,High,8,129,204,40106.45,1002.66,0,1820.18
C00260,North,Power User,High,10,162,728,15850.16,1585.02,0,12835.31
C00261,South,High Activity,High,8,1,180,10600.71,1325.09,0,2122.5
C00262,East,Low Activity,Low,3,111,728,4516.4,1505.47,0,3657.34
C00263,North,Mid Activity,Low,5,182,320,5350.43,1070.09,0,1904.5
C00264,Central,Power User,Low,9,36,827,25004.96,2778.33,0,23002.35
C00265,East,Mid Activity,Low,6,79,367,8110.14,1351.69,1,3310.81
C00266,South,Mid Activity,Low,6,176,307,7546.51,1257.75,0,2577.06
C00267,South,High Activity,High,7,20,380,15878.45,2268.35,0,6711.69
C00268,South,Low Activity,Low,3,134,306,4703.99,1568.0,1,1601.14
C00269,Central,Mid Activity,Low,5,72,436,5923.79,1184.76,0,2872.94
C00270,Central,High Activity,Low,8,164,855,5095.21,636.9,0,4845.82
C00271,East,Low Activity,Low,4,39,726,6240.05,1560.01,0,5039.23
C00272,East,High Activity,Low,7,7,373,12617.98,1802.57,1,5235.27
C00273,East,Low Activity,Low,3,27,882,5903.91,1967.97,0,5792.27
C00274,East,Power User,Low,9,23,283,19996.96,2221.88,0,6294.91
C00275,Central,Power User,Low,11,24,714,20834.13,1894.01,0,16546.78
C00276,Central,Mid Activity,Low,6,4,444,14549.3,2424.88,0,7185.63
C00277,South,Mid Activity,Low,5,262,563,7142.37,1428.47,1,4472.91
C00278,South,Mid Activity,High,5,10,439,6633.94,1326.79,1,3239.49
C00279,South,Power User,High,9,28,593,16893.21,1877.02,0,11143.11
C00281,East,High Activity,Low,8,341,254,7974.99,996.87,0,2253.21
C00282,Central,High Activity,Low,8,23,534,12947.64,1618.45,0,7690.79
C00284,North,Power User,Low,9,145,367,8033.52,892.61,0,3279.52
C00285,South,High Activity,High,8,141,864,8894.27,1111.78,1,8547.97
C00286,North,Low Activity,Low,3,3,469,4223.2,1407.73,0,2203.2
C00287,Central,Mid Activity,High,6,279,224,7209.4,1201.57,1,1796.34
C00288,Central,High Activity,Low,8,38,752,15058.13,1882.27,0,12595.92
C00289,Central,High Activity,Low,7,328,262,8087.96,1155.42,0,2357.11
C00290,South,Low Activity,High,2,109,302,2034.85,1017.42,0,683.56
C00291,North,Low Activity,Low,4,168,537,4494.65,1123.66,0,2684.78
C00292,North,Mid Activity,High,5,321,707,6585.82,1317.16,1,5179.27
C00293,East,Mid Activity,Low,5,342,245,4444.97,888.99,0,1211.36
C00294,Central,Low Activity,Low,4,244,836,6096.53,1524.13,0,5669.29
C00295,North,High Activity,Low,8,111,554,9774.45,1221.81,0,6023.43
C00296,Central,Power User,Low,10,13,341,17006.37,1700.64,0,6450.7
C00297,South,Mid Activity,Low,5,69,559,5526.55,1105.31,1,3436.42
C00298,North,Low Activity,Low,4,178,835,6200.94,1550.24,0,5759.51
C00299,South,Mid Activity,High,5,34,537,7227.61,1445.52,0,4317.26
C00301,North,High Activity,Low,7,13,501,13153.57,1879.08,0,7330.29
C00302,Central,Low Activity,Low,4,34,629,5481.89,1370.47,0,3835.49
C00303,Central,Power User,Low,11,29,653,20368.73,1851.7,0,14795.06
C00304,South,Mid Activity,Low,6,177,192,10342.2,1723.7,1,2208.79
C00305,South,Mid Activity,High,6,179,363,7132.42,1188.74,1,2879.95
C00306,East,Low Activity,Low,4,23,290,6820.58,1705.15,0,2200.19
C00307,Central,Low Activity,Low,3,156,687,3775.35,1258.45,0,2885.06
C00308,Central,High Activity,Low,8,35,469,14976.28,1872.03,0,7812.97
C00309,South,Mid Activity,High,6,34,474,21262.21,3543.7,0,11210.55
C00310,Central,Mid Activity,Low,5,115,630,3829.56,765.91,0,2683.67
C00311,Central,High Activity,High,7,159,394,4248.88,606.98,0,1862.13
C00312,North,Mid Activity,Low,6,56,811,3465.48,577.58,0,3126.26
C00313,North,Mid Activity,Low,5,276,746,10109.52,2021.9,0,8388.97
C00314,East,High Activity,Low,8,11,206,155337.8,3883.44,0,7118.92
C00315,East,Mid Activity,Low,5,344,809,6216.02,1243.2,0,5593.71
C00316,South,Low Activity,Low,3,20,410,3990.73,1330.24,0,1820.02
C00317,Central,Low Activity,Low,4,16,744,5101.11,1275.28,1,4221.62
C00318,North,Power User,Low,9,117,500,6019.23,668.8,0,3347.72
C00319,North,Mid Activity,Low,6,33,412,19502.37,3250.4,0,8937.7
C00320,Central,High Activity,High,7,342,849,11188.51,1598.36,1,10566.24
C00321,Central,Low Activity,Low,3,106,616,2492.02,830.67,0,1707.54
C00322,South,Low Activity,High,4,17,712,5190.82,1297.7,0,4111.07
C00323,South,Low Activity,High,4,14,582,4711.9,1177.98,0,3050.43
C00324,Central,High Activity,High,8,87,232,9093.22,1136.65,1,2346.63
C00325,East,Mid Activity,Low,6,168,492,5977.62,996.27,1,3271.4
C00326,South,Low Activity,High,3,81,460,3498.91,1166.3,1,1790.32
C00327,South,Low Activity,High,3,96,210,3125.84,1041.95,0,730.18
C00328,South,High Activity,High,8,115,516,12154.18,1519.27,1,6976.14
C00329,Central,Power User,High,9,157,362,10725.37,1191.71,0,4318.79
C00330,North,Mid Activity,Low,5,132,202,4961.18,992.24,0,1114.75
C00331,Central,Mid Activity,High,5,46,723,5962.18,1192.44,0,4794.96
C00332,South,Mid Activity,High,5,218,625,5788.05,1157.61,1,4023.95
C00334,North,Mid Activity,Low,5,174,189,35078.15,1403.13,0,1474.93
C00335,North,High Activity,Low,7,21,663,12081.73,1725.96,0,8910.1
C00336,North,Mid Activity,Low,6,140,635,6172.06,1028.68,0,4359.59
C00337,East,Mid Activity,High,6,237,745,4751.79,791.97,1,3937.83
C00338,South,Low Activity,High,4,7,743,4789.69,1197.42,0,3958.55
C00339,Central,High Activity,Low,7,21,839,20554.05,2936.29,1,19182.24
C00340,North,Mid Activity,Low,5,18,339,5814.29,1162.86,0,2192.49
C00341,Central,Low Activity,Low,3,5,193,3148.38,1049.46,0,675.9
C00342,Central,Mid Activity,High,6,25,357,9318.5,1553.08,0,3700.44
C00344,Central,Power User,Low,9,41,232,13976.42,1552.94,0,3606.83
C00345,Central,Low Activity,High,1,252,587,1345.41,1345.41,1,878.48
C00346,South,Mid Activity,Low,6,111,201,8585.33,1430.89,0,1919.53
C00347,South,Mid Activity,High,5,78,209,6376.6,1275.32,1,1482.44
C00348,North,High Activity,Low,7,10,882,13474.87,1924.98,0,13220.05
C00349,Central,Mid Activity,Low,5,66,439,5524.74,1104.95,0,2697.85
C00350,South,High Activity,Low,8,85,384,8398.71,1049.84,0,3587.44
C00352,East,Low Activity,Low,4,121,650,4307.13,1076.78,0,3114.16
C00353,South,Low Activity,Low,4,142,645,6125.73,1531.43,0,4394.98
C00354,North,Mid Activity,Low,6,165,191,10839.09,1806.51,0,2302.85
C00355,North,High Activity,High,7,39,810,13387.6,1912.51,0,12062.22
C00356,South,Power User,Low,10,8,469,24183.55,2418.35,0,12616.31
C00357,North,High Activity,Low,7,36,533,15544.27,2220.61,0,9215.9
C00358,South,High Activity,High,8,14,818,13536.58,1692.07,1,12316.91
C00359,East,Low Activity,Low,3,358,254,3647.53,1215.84,1,1030.56
C00360,South,Low Activity,High,3,278,895,3916.47,1305.49,0,3899.04
C00361,Central,Power User,Low,9,16,740,18558.51,2062.06,0,15276.22
C00362,South,Power User,High,9,149,770,12492.98,1388.11,1,10700.34
C00363,Central,Power User,Low,9,84,620,54004.45,1200.1,0,7448.9
C00364,Central,High Activity,Low,8,52,420,2722.01,340.25,0,1271.68
C00365,East,High Activity,Low,7,2,333,12414.94,1773.56,0,4598.63
C00366,Central,Low Activity,Low,3,27,275,4889.17,1629.72,0,1495.57
C00367,East,High Activity,Low,8,144,473,10848.68,1356.08,0,5707.91
C00368,East,High Activity,Low,7,20,388,4958.43,708.35,0,2140.02
C00369,North,Mid Activity,Low,6,14,522,7275.16,1212.53,0,4224.3
C00370,North,High Activity,Low,7,13,267,20547.59,2935.37,0,6102.57
C00371,North,Mid Activity,Low,5,16,569,5135.77,1027.15,0,3250.55
C00372,North,Mid Activity,Low,5,96,504,1946.64,389.33,0,1091.34
C00373,North,Mid Activity,Low,5,34,336,7589.09,1517.82,0,2836.42
C00374,South,Mid Activity,Low,6,20,847,87142.1,2904.74,0,16420.34
C00375,North,Mid Activity,Low,5,219,830,4756.03,951.21,0,4391.01
C00376,Central,High Activity,Low,8,2,812,24017.21,3002.15,0,21692.95
C00377,East,Low Activity,Low,3,185,756,2887.73,962.58,1,2428.4
C00378,North,Mid Activity,Low,5,348,798,5065.64,1013.13,0,4496.54
C00379,East,Low Activity,Low,2,29,838,2108.58,1054.29,0,1965.51
C00380,Central,High Activity,Low,7,80,316,4419.51,631.36,0,1553.47
C00381,North,Low Activity,Low,2,325,853,2647.62,1323.81,1,2512.15
C00382,South,High Activity,High,7,66,607,9492.22,1356.03,0,6409.09
